username,username_name,date_brasilia,hora_brasilia,tweet_id,tweet_text,date_GMT,hora_GMT
@BoasPraticasBCI,Observatório de Boas Práticas BCI,2023-05-26,20:09:05,1662234431086551041,"A inteligência artificial contribuindo com a democratização da leitura! 📚✨
Visite nosso site para saber mais:
🔗https://t.co/ODMQBmeIqF

#BoasPraticasBCI #Biblioteconomia #projetodeextensaoufrn #librarianship https://t.co/Px4zknV7PK",2023-05-26,23:09:05
@ETD_estudio,Estudio de Técnicas Documentales - ETD,2023-05-26,06:52:05,1662033858412388354,"RT @ETD_estudio: CATÁLOGO DE #MÁSTERS ETD. 

¡5% de descuento!

- Máster en #Archivística

https://t.co/5J9Tsnj1nM

- Máster en #Biblioteco…",2023-05-26,09:52:05
@ETD_estudio,Estudio de Técnicas Documentales - ETD,2023-05-26,06:52:01,1662033842171944970,"RT @ETD_estudio: CATÁLOGO DE #MÁSTERS ETD

10% de descuento si te matriculas en Mayo.

Máster en #Archivística

https://t.co/5J9Tsnjzdk

Má…",2023-05-26,09:52:01
@BoasPraticasBCI,Observatório de Boas Práticas BCI,2023-05-25,21:11:23,1661887719176384513,"Agricultura sustentável e popular 🌱🤩
Visite nosso site para saber mais:
🔗https://t.co/ODMQBmeIqF

#BoasPraticasBCI #Biblioteconomia #projetodeextensaoufrn #librarianship https://t.co/wcgEyEoKqX",2023-05-26,00:11:23
@sibiufc,Sistema de Bibliotecas da UFC,2023-05-25,07:58:50,1661688267496980481,"Sabia que o Sistema de Bibliotecas elabora e disponibiliza várias publicações? 
Você pode acessá-las em: https://t.co/qBuA7L1FGf

#SiBiUFC #BibliotecasUFC #Biblioteconomia https://t.co/CuHYAWgnJv",2023-05-25,10:58:50
@diegoleonardopa,Diego Leonardo 🇧🇷,2023-05-24,21:05:29,1661523847114379266,RT @SIBI_UFRJ: No site do #SiBIUFRJ tem uma relação de e-books gratuitos que abarcam temas relacionados às áreas da #BIBLIOTECONOMIA e #CIÊ…,2023-05-25,00:05:29
@FozFrancisco,Francisco Foz,2023-05-24,15:10:04,1661434403900334080,"""Não é exagero afirmar que Henriette Avram salvou do esquecimento a herança literária impressa, pois o MARC garantiu a relevância e a presença contínuas da literatura na era da mídia digital.""  
#Marc21 #Biblioteconomia #Ciencia 
🧶",2023-05-24,18:10:04
@SIBI_UFRJ,SiBI UFRJ,2023-05-24,11:35:04,1661380298943217666,"No site do #SiBIUFRJ tem uma relação de e-books gratuitos que abarcam temas relacionados às áreas da #BIBLIOTECONOMIA e #CIÊNCIADAINFORMAÇÃO.

Selecionamos 8 #ebooks dessa lista sobre Gestão do conhecimento:

https://t.co/lIjPDPoiHQ

+

  #gestaodoconhecimento https://t.co/XlXEIhAsUh",2023-05-24,14:35:04
@123archiv,¿?,2023-05-24,09:20:38,1661346464604344321,"¿Alguien conoce de la existencia de grupos de Telegram o Discord que versen sobre #archivística, #paleografía o #biblioteconomía?",2023-05-24,12:20:38
@bibliotecaippur,BIBLIOTECA DO IPPUR/UFRJ,2023-05-23,21:29:44,1661167562015617025,RT @SIBI_UFRJ: O Censo da #Biblioteconomia Brasileira tem como propósito servir como uma fonte de informação referencial que mapeie o perfi…,2023-05-24,00:29:44
@bforadacaixa,Biblio Fora da Caixa,2023-05-23,18:14:00,1661118303312420904,"BIBLIOTECA DO CONGRESSO |  #Congress #of #Library - Washington (EUA)

Neste vídeo apresentamos a história e curiosidades da Biblioteca do Congresso do Estados Unidos da América. Você vai curtir essa história.

#biblioForadaCaixa
#biblioteconomia 
#biblio
 #libraryofcongress https://t.co/26Xi2JreCK",2023-05-23,21:14:00
@BibliOpos,BibliOpos,2023-05-23,15:33:36,1661077937397874704,#Convocatorias Ayuntamiento de Alella #Barcelona. 1 plaza de Técnico Auxiliar de #Biblioteconomía (C1) - https://t.co/VnEojN6HaK,2023-05-23,18:33:36
@SIBI_UFRJ,SiBI UFRJ,2023-05-23,12:45:35,1661035653595840512,"O Censo da #Biblioteconomia Brasileira tem como propósito servir como uma fonte de informação referencial que mapeie o perfil dos profissionais a partir de aspectos socioeconômicos, educacionais e de atuação.

https://t.co/wwz86LTf2M

 #bibliotecario #bibliotecaria https://t.co/iHK3kOK7Rp",2023-05-23,15:45:35
@MarinaCarbonel3,Marina Carbonell,2023-05-23,10:44:53,1661005281461977088,"RT @ETD_estudio: #28M #elecciones #EleccionesMunicipales #eleccionesmunicipales2023 #bibliotecarios #bibliotecas #biblioteconomía 

46 bibl…",2023-05-23,13:44:53
@PhilipArtelt,kla/rn/ame,2023-05-22,11:25:54,1660653213979164676,"RT @FozFrancisco: Hoje, 12 de março, é comemorado no Brasil, o dia da pessoa Bibliotecária.

Parabéns ! \0/ \0/

Eu, como um Bibliotecário,…",2023-05-22,14:25:54
@Mundaneumasbl,Mundaneum,2023-05-22,11:12:49,1660649920309633030,"RT @FozFrancisco: Hoje, 12 de março, é comemorado no Brasil, o dia da pessoa Bibliotecária.

Parabéns ! \0/ \0/

Eu, como um Bibliotecário,…",2023-05-22,14:12:49
@LucioSaretta,Lúcio H Saretta,2023-05-22,10:10:00,1660634115689922562,"Dica de curso!✍️📚
#biblioteconomia
#ARB
#educaçãocontinuada
https://t.co/gXRATx8Gzz",2023-05-22,13:10:00
@FozFrancisco,Francisco Foz,2023-05-22,09:02:12,1660617051835187201,"Competência em informação na era da pós-verdade: a (in)formação na graduação em biblioteconomia e ciência da informação da UFSCar

https://t.co/UKB9z6rJS6

#Biblioteconomia",2023-05-22,12:02:12
@FozFrancisco,Francisco Foz,2023-05-22,09:02:00,1660617001230893056,"A questão de gênero na formação de bibliotecárias/os: um estudo de caso no curso de biblioteconomia da Universidade Federal de Alagoas.

https://t.co/nETHmJAhGw

#Biblioteconomia",2023-05-22,12:02:00
@FozFrancisco,Francisco Foz,2023-05-22,08:58:46,1660616187221245953,"As relações de estudantes de direito e biblioteconomia com a desinformação, fake news e pós verdade.

https://t.co/owOhC9qaIq

#Biblioteconomia",2023-05-22,11:58:46
@bibliotecaippur,BIBLIOTECA DO IPPUR/UFRJ,2023-05-22,08:45:44,1660612907711750144,RT @pedroisandretta: #Entrevista com Ilídio Lobato Ernesto Manhique sobre a pesquisa em Competência Informacional de graduandos em Bibliote…,2023-05-22,11:45:44
@ETD_estudio,Estudio de Técnicas Documentales - ETD,2023-05-22,06:01:00,1660571450204463108,"#28M #elecciones #EleccionesMunicipales #eleccionesmunicipales2023 #bibliotecarios #bibliotecas #biblioteconomía 

46 bibliotecarios/as se presentan a las elecciones municipales en Catalunya/Cataluña.

3 van como cabeza de lista electoral. https://t.co/BNe2aPUim8",2023-05-22,09:01:00
@UDivulga,UDivulga,2023-05-22,04:06:07,1660542539265441795,"Mestres i professorat d’#Educació Infantil, Primària, #Secundària i #Batxillerat, de cicles formatius, professionals de la #biblioteconomia i de l’edició, estudiants dels àmbits educatiu, documentalista i d’#humanitats, i persones interessades en la temàtica literària.",2023-05-22,07:06:07
@normalizada,Giseli Adornato,2023-05-21,23:50:22,1660478176923983873,RT @FozFrancisco: “Neste artigo você encontra 5 indicações de artigos científico frutos de pesquisas que se dedicaram a entender mais sobre…,2023-05-22,02:50:22
@lucas_g_wendt,lucas estudando ciência da informação,2023-05-21,20:23:53,1660426216535388162,RT @pedroisandretta: #Entrevista com Ilídio Lobato Ernesto Manhique sobre a pesquisa em Competência Informacional de graduandos em Bibliote…,2023-05-21,23:23:53
